WeekEpid;Year;Year_Week;Departements;Districts_Sanitaires;cas_suspect;Deces;cas_confirme;
2;2024;2024_S2;POINTE NOIRE;Mvou-Mvou;0;0;0;
2;2024;2024_S2;KOUILOU;Mvouti-Kakamoéka;0;0;0;
2;2024;2024_S2;PLATEAUX;Ngo-Mpouya;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Ngoyo;0;0;0;
2;2024;2024_S2;BOUENZA;Nkayi;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Ouenze;0;0;0;
2;2024;2024_S2;SANGHA;Ouesso;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Poto-Poto;0;0;0;
2;2024;2024_S2;SANGHA;Sembé-Souanké;0;0;0;
2;2024;2024_S2;LEKOUMOU;Sibiti;0;0;0;
2;2024;2024_S2;BRAZZAVILLE;Talangai;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
2;2024;2024_S2;POINTE NOIRE;Tié-Tié;0;0;0;
2;2024;2024_S2;LEKOUMOU;Zanaga;0;0;0;
2;2024;2024_S2;PLATEAUX;Gamboma;2;0;1;
3;2024;2024_S3;PLATEAUX;Abala-Allémbé;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Bacongo;0;0;0;
3;2024;2024_S3;POOL;Boko-Louingui-Loumo;0;0;0;
3;2024;2024_S3;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Djiri;0;0;0;
3;2024;2024_S3;NIARI;Dolisie;0;0;0;
3;2024;2024_S3;LIKOUALA;Enyellé-Bétou;0;0;0;
3;2024;2024_S3;CUVETTE OUEST;Etoumbi;0;0;0;
3;2024;2024_S3;CUVETTE OUEST;Ewo;0;0;0;
3;2024;2024_S3;POOL;Goma Tsé-Tsé;0;0;0;
3;2024;2024_S3;KOUILOU;Hinda-Loango;0;0;0;
3;2024;2024_S3;POOL;Ignié-Ngabé-Mayama;0;0;0;
3;2024;2024_S3;LIKOUALA;Impfondo;0;0;0;
3;2024;2024_S3;NIARI;Kibangou;0;0;0;
3;2024;2024_S3;NIARI;Kimongo;0;0;0;
3;2024;2024_S3;POOL;Kindamba;0;0;0;
3;2024;2024_S3;POOL;Kinkala;0;0;0;
3;2024;2024_S3;POOL;Kintélé;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Loandjili;0;0;0;
3;2024;2024_S3;BOUENZA;Loudima;0;0;0;
3;2024;2024_S3;BOUENZA;Loutété;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Lumumba;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Madibou;0;0;0;
3;2024;2024_S3;KOUILOU;Madingo kayes - Nzambi;0;0;0;
3;2024;2024_S3;BOUENZA;Madingou;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Makelekele;0;0;0;
3;2024;2024_S3;NIARI;Mayoko;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Mfilou;0;0;0;
3;2024;2024_S3;POOL;Mindouli;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Mongo Poukou;0;0;0;
3;2024;2024_S3;CUVETTE;Mossaka-Loukoléla;0;0;0;
3;2024;2024_S3;NIARI;Mossendjo;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Moungali;0;0;0;
3;2024;2024_S3;BOUENZA;Mouyondzi;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Mvou-Mvou;0;0;0;
3;2024;2024_S3;KOUILOU;Mvouti-Kakamoéka;0;0;0;
3;2024;2024_S3;PLATEAUX;Ngo-Mpouya;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Ngoyo;0;0;0;
3;2024;2024_S3;BOUENZA;Nkayi;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Ouenze;0;0;0;
3;2024;2024_S3;SANGHA;Ouesso;0;0;0;
3;2024;2024_S3;CUVETTE;Owando;0;0;0;
3;2024;2024_S3;CUVETTE;Oyo-Alima;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Poto-Poto;0;0;0;
3;2024;2024_S3;SANGHA;Sembé-Souanké;0;0;0;
3;2024;2024_S3;LEKOUMOU;Sibiti;0;0;0;
3;2024;2024_S3;BRAZZAVILLE;Talangai;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
3;2024;2024_S3;POINTE NOIRE;Tié-Tié;0;0;0;
3;2024;2024_S3;LEKOUMOU;Zanaga;0;0;0;
3;2024;2024_S3;PLATEAUX;Gamboma;1;0;1;
4;2024;2024_S4;PLATEAUX;Abala-Allémbé;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Bacongo;0;0;0;
4;2024;2024_S4;POOL;Boko-Louingui-Loumo;0;0;0;
4;2024;2024_S4;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Djiri;0;0;0;
4;2024;2024_S4;NIARI;Dolisie;0;0;0;
4;2024;2024_S4;LIKOUALA;Enyellé-Bétou;0;0;0;
4;2024;2024_S4;CUVETTE OUEST;Etoumbi;0;0;0;
4;2024;2024_S4;CUVETTE OUEST;Ewo;0;0;0;
4;2024;2024_S4;PLATEAUX;Gamboma;0;0;0;
4;2024;2024_S4;POOL;Goma Tsé-Tsé;0;0;0;
4;2024;2024_S4;KOUILOU;Hinda-Loango;0;0;0;
4;2024;2024_S4;POOL;Ignié-Ngabé-Mayama;0;0;0;
4;2024;2024_S4;LIKOUALA;Impfondo;0;0;0;
4;2024;2024_S4;NIARI;Kibangou;0;0;0;
4;2024;2024_S4;NIARI;Kimongo;0;0;0;
4;2024;2024_S4;POOL;Kindamba;0;0;0;
4;2024;2024_S4;POOL;Kinkala;0;0;0;
4;2024;2024_S4;POOL;Kintélé;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Loandjili;0;0;0;
4;2024;2024_S4;BOUENZA;Loudima;0;0;0;
4;2024;2024_S4;BOUENZA;Loutété;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Lumumba;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Madibou;0;0;0;
4;2024;2024_S4;KOUILOU;Madingo kayes - Nzambi;0;0;0;
4;2024;2024_S4;BOUENZA;Madingou;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Makelekele;0;0;0;
4;2024;2024_S4;NIARI;Mayoko;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Mfilou;0;0;0;
4;2024;2024_S4;POOL;Mindouli;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Mongo Poukou;0;0;0;
4;2024;2024_S4;NIARI;Mossendjo;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Moungali;0;0;0;
4;2024;2024_S4;BOUENZA;Mouyondzi;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Mvou-Mvou;0;0;0;
4;2024;2024_S4;KOUILOU;Mvouti-Kakamoéka;0;0;0;
4;2024;2024_S4;PLATEAUX;Ngo-Mpouya;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Ngoyo;0;0;0;
4;2024;2024_S4;BOUENZA;Nkayi;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Ouenze;0;0;0;
4;2024;2024_S4;SANGHA;Ouesso;0;0;0;
4;2024;2024_S4;CUVETTE;Owando;0;0;0;
4;2024;2024_S4;CUVETTE;Oyo-Alima;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Poto-Poto;0;0;0;
4;2024;2024_S4;SANGHA;Sembé-Souanké;0;0;0;
4;2024;2024_S4;LEKOUMOU;Sibiti;0;0;0;
4;2024;2024_S4;BRAZZAVILLE;Talangai;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
4;2024;2024_S4;POINTE NOIRE;Tié-Tié;0;0;0;
4;2024;2024_S4;LEKOUMOU;Zanaga;0;0;0;
4;2024;2024_S4;CUVETTE;Mossaka-Loukoléla;2;0;2;
5;2024;2024_S5;PLATEAUX;Abala-Allémbé;0;0;0;
5;2024;2024_S5;POOL;Boko-Louingui-Loumo;0;0;0;
5;2024;2024_S5;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Djiri;0;0;0;
5;2024;2024_S5;NIARI;Dolisie;0;0;0;
5;2024;2024_S5;LIKOUALA;Enyellé-Bétou;0;0;0;
5;2024;2024_S5;CUVETTE OUEST;Etoumbi;1;0;0;
5;2024;2024_S5;CUVETTE OUEST;Ewo;0;0;0;
5;2024;2024_S5;PLATEAUX;Gamboma;0;0;0;
5;2024;2024_S5;POOL;Goma Tsé-Tsé;0;0;0;
5;2024;2024_S5;KOUILOU;Hinda-Loango;0;0;0;
5;2024;2024_S5;POOL;Ignié-Ngabé-Mayama;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Ile Mbamou;0;0;0;
5;2024;2024_S5;LIKOUALA;Impfondo;0;0;0;
5;2024;2024_S5;NIARI;Kibangou;0;0;0;
5;2024;2024_S5;NIARI;Kimongo;0;0;0;
5;2024;2024_S5;POOL;Kindamba;0;0;0;
5;2024;2024_S5;POOL;Kinkala;0;0;0;
5;2024;2024_S5;POOL;Kintélé;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Loandjili;0;0;0;
5;2024;2024_S5;BOUENZA;Loudima;0;0;0;
5;2024;2024_S5;BOUENZA;Loutété;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Lumumba;1;0;0;
5;2024;2024_S5;BRAZZAVILLE;Madibou;0;0;0;
5;2024;2024_S5;KOUILOU;Madingo kayes - Nzambi;0;0;0;
5;2024;2024_S5;BOUENZA;Madingou;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Makelekele;0;0;0;
5;2024;2024_S5;NIARI;Mayoko;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Mfilou;0;0;0;
5;2024;2024_S5;POOL;Mindouli;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Mongo Poukou;0;0;0;
5;2024;2024_S5;CUVETTE;Mossaka-Loukoléla;0;0;0;
5;2024;2024_S5;NIARI;Mossendjo;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Moungali;0;0;0;
5;2024;2024_S5;BOUENZA;Mouyondzi;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Mvou-Mvou;0;0;0;
5;2024;2024_S5;KOUILOU;Mvouti-Kakamoéka;0;0;0;
5;2024;2024_S5;PLATEAUX;Ngo-Mpouya;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Ngoyo;0;0;0;
5;2024;2024_S5;BOUENZA;Nkayi;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Ouenze;0;0;0;
5;2024;2024_S5;SANGHA;Ouesso;0;0;0;
5;2024;2024_S5;CUVETTE;Owando;0;0;0;
5;2024;2024_S5;CUVETTE;Oyo-Alima;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Poto-Poto;0;0;0;
5;2024;2024_S5;SANGHA;Sembé-Souanké;0;0;0;
5;2024;2024_S5;LEKOUMOU;Sibiti;0;0;0;
5;2024;2024_S5;BRAZZAVILLE;Talangai;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
5;2024;2024_S5;POINTE NOIRE;Tié-Tié;0;0;0;
5;2024;2024_S5;LEKOUMOU;Zanaga;0;0;0;
6;2024;2024_S6;PLATEAUX;Abala-Allémbé;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Bacongo;0;0;0;
6;2024;2024_S6;POOL;Boko-Louingui-Loumo;0;0;0;
6;2024;2024_S6;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Djiri;0;0;0;
6;2024;2024_S6;NIARI;Dolisie;0;0;0;
6;2024;2024_S6;LIKOUALA;Enyellé-Bétou;0;0;0;
6;2024;2024_S6;CUVETTE OUEST;Etoumbi;0;0;0;
6;2024;2024_S6;CUVETTE OUEST;Ewo;0;0;0;
6;2024;2024_S6;PLATEAUX;Gamboma;0;0;0;
6;2024;2024_S6;POOL;Goma Tsé-Tsé;0;0;0;
6;2024;2024_S6;KOUILOU;Hinda-Loango;0;0;0;
6;2024;2024_S6;POOL;Ignié-Ngabé-Mayama;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Ile Mbamou;0;0;0;
6;2024;2024_S6;LIKOUALA;Impfondo;0;0;0;
6;2024;2024_S6;NIARI;Kibangou;0;0;0;
6;2024;2024_S6;NIARI;Kimongo;0;0;0;
6;2024;2024_S6;POOL;Kindamba;0;0;0;
6;2024;2024_S6;POOL;Kinkala;0;0;0;
6;2024;2024_S6;POOL;Kintélé;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Loandjili;0;0;0;
6;2024;2024_S6;BOUENZA;Loudima;0;0;0;
6;2024;2024_S6;BOUENZA;Loutété;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Lumumba;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Madibou;0;0;0;
6;2024;2024_S6;KOUILOU;Madingo kayes - Nzambi;0;0;0;
6;2024;2024_S6;BOUENZA;Madingou;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Makelekele;0;0;0;
6;2024;2024_S6;NIARI;Mayoko;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Mfilou;0;0;0;
6;2024;2024_S6;POOL;Mindouli;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Mongo Poukou;0;0;0;
6;2024;2024_S6;CUVETTE;Mossaka-Loukoléla;0;0;0;
6;2024;2024_S6;NIARI;Mossendjo;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Moungali;0;0;0;
6;2024;2024_S6;BOUENZA;Mouyondzi;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Mvou-Mvou;0;0;0;
6;2024;2024_S6;KOUILOU;Mvouti-Kakamoéka;0;0;0;
6;2024;2024_S6;PLATEAUX;Ngo-Mpouya;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Ngoyo;0;0;0;
6;2024;2024_S6;BOUENZA;Nkayi;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Ouenze;0;0;0;
6;2024;2024_S6;SANGHA;Ouesso;0;0;0;
6;2024;2024_S6;CUVETTE;Owando;0;0;0;
6;2024;2024_S6;CUVETTE;Oyo-Alima;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Poto-Poto;0;0;0;
6;2024;2024_S6;SANGHA;Sembé-Souanké;0;0;0;
6;2024;2024_S6;LEKOUMOU;Sibiti;0;0;0;
6;2024;2024_S6;BRAZZAVILLE;Talangai;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
6;2024;2024_S6;POINTE NOIRE;Tié-Tié;0;0;0;
6;2024;2024_S6;LEKOUMOU;Zanaga;0;0;0;
7;2024;2024_S7;PLATEAUX;Abala-Allémbé;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Bacongo;0;0;0;
7;2024;2024_S7;POOL;Boko-Louingui-Loumo;0;0;0;
7;2024;2024_S7;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Djiri;0;0;0;
7;2024;2024_S7;NIARI;Dolisie;0;0;0;
7;2024;2024_S7;LIKOUALA;Enyellé-Bétou;0;0;0;
7;2024;2024_S7;CUVETTE OUEST;Etoumbi;0;0;0;
7;2024;2024_S7;CUVETTE OUEST;Ewo;0;0;0;
7;2024;2024_S7;PLATEAUX;Gamboma;5;0;0;
7;2024;2024_S7;POOL;Goma Tsé-Tsé;0;0;0;
7;2024;2024_S7;KOUILOU;Hinda-Loango;0;0;0;
7;2024;2024_S7;POOL;Ignié-Ngabé-Mayama;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Ile Mbamou;0;0;0;
7;2024;2024_S7;LIKOUALA;Impfondo;0;0;0;
7;2024;2024_S7;NIARI;Kibangou;0;0;0;
7;2024;2024_S7;NIARI;Kimongo;0;0;0;
7;2024;2024_S7;POOL;Kindamba;0;0;0;
7;2024;2024_S7;POOL;Kinkala;0;0;0;
7;2024;2024_S7;POOL;Kintélé;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Loandjili;0;0;0;
7;2024;2024_S7;BOUENZA;Loudima;0;0;0;
7;2024;2024_S7;BOUENZA;Loutété;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Lumumba;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Madibou;0;0;0;
7;2024;2024_S7;KOUILOU;Madingo kayes - Nzambi;0;0;0;
7;2024;2024_S7;BOUENZA;Madingou;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Makelekele;1;0;0;
7;2024;2024_S7;NIARI;Mayoko;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Mfilou;0;0;0;
7;2024;2024_S7;POOL;Mindouli;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Mongo Poukou;0;0;0;
7;2024;2024_S7;NIARI;Mossendjo;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Moungali;0;0;0;
7;2024;2024_S7;BOUENZA;Mouyondzi;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Mvou-Mvou;0;0;0;
7;2024;2024_S7;KOUILOU;Mvouti-Kakamoéka;0;0;0;
7;2024;2024_S7;PLATEAUX;Ngo-Mpouya;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Ngoyo;1;0;0;
7;2024;2024_S7;BOUENZA;Nkayi;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Ouenze;0;0;0;
7;2024;2024_S7;SANGHA;Ouesso;0;0;0;
7;2024;2024_S7;CUVETTE;Owando;0;0;0;
7;2024;2024_S7;CUVETTE;Oyo-Alima;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Poto-Poto;0;0;0;
7;2024;2024_S7;SANGHA;Sembé-Souanké;0;0;0;
7;2024;2024_S7;LEKOUMOU;Sibiti;0;0;0;
7;2024;2024_S7;BRAZZAVILLE;Talangai;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
7;2024;2024_S7;POINTE NOIRE;Tié-Tié;0;0;0;
7;2024;2024_S7;LEKOUMOU;Zanaga;0;0;0;
7;2024;2024_S7;CUVETTE;Mossaka-Loukoléla;12;0;5;
8;2024;2024_S8;PLATEAUX;Abala-Allémbé;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Bacongo;0;0;0;
8;2024;2024_S8;POOL;Boko-Louingui-Loumo;0;0;0;
8;2024;2024_S8;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Djiri;0;0;0;
8;2024;2024_S8;NIARI;Dolisie;0;0;0;
8;2024;2024_S8;LIKOUALA;Enyellé-Bétou;0;0;0;
8;2024;2024_S8;CUVETTE OUEST;Etoumbi;0;0;0;
8;2024;2024_S8;CUVETTE OUEST;Ewo;0;0;0;
8;2024;2024_S8;PLATEAUX;Gamboma;0;0;0;
8;2024;2024_S8;POOL;Goma Tsé-Tsé;0;0;0;
8;2024;2024_S8;KOUILOU;Hinda-Loango;0;0;0;
8;2024;2024_S8;POOL;Ignié-Ngabé-Mayama;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Ile Mbamou;0;0;0;
8;2024;2024_S8;NIARI;Kibangou;0;0;0;
8;2024;2024_S8;NIARI;Kimongo;0;0;0;
8;2024;2024_S8;POOL;Kindamba;0;0;0;
8;2024;2024_S8;POOL;Kinkala;0;0;0;
8;2024;2024_S8;POOL;Kintélé;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Loandjili;0;0;0;
8;2024;2024_S8;BOUENZA;Loudima;0;0;0;
8;2024;2024_S8;BOUENZA;Loutété;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Lumumba;1;0;0;
8;2024;2024_S8;BRAZZAVILLE;Madibou;0;0;0;
8;2024;2024_S8;KOUILOU;Madingo kayes - Nzambi;0;0;0;
8;2024;2024_S8;BOUENZA;Madingou;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Makelekele;2;0;0;
8;2024;2024_S8;NIARI;Mayoko;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Mfilou;0;0;0;
8;2024;2024_S8;POOL;Mindouli;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Mongo Poukou;0;0;0;
8;2024;2024_S8;CUVETTE;Mossaka-Loukoléla;0;0;0;
8;2024;2024_S8;NIARI;Mossendjo;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Moungali;0;0;0;
8;2024;2024_S8;BOUENZA;Mouyondzi;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Mvou-Mvou;0;0;0;
8;2024;2024_S8;KOUILOU;Mvouti-Kakamoéka;0;0;0;
8;2024;2024_S8;PLATEAUX;Ngo-Mpouya;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Ngoyo;0;0;0;
8;2024;2024_S8;BOUENZA;Nkayi;0;0;0;
8;2024;2024_S8;SANGHA;Ouesso;0;0;0;
8;2024;2024_S8;CUVETTE;Owando;0;0;0;
8;2024;2024_S8;CUVETTE;Oyo-Alima;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Poto-Poto;0;0;0;
8;2024;2024_S8;SANGHA;Sembé-Souanké;0;0;0;
8;2024;2024_S8;LEKOUMOU;Sibiti;0;0;0;
8;2024;2024_S8;BRAZZAVILLE;Talangai;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Tchiamba Nzassi;0;0;0;
8;2024;2024_S8;POINTE NOIRE;Tié-Tié;0;0;0;
8;2024;2024_S8;LEKOUMOU;Zanaga;0;0;0;
8;2024;2024_S8;LIKOUALA;Impfondo;3;0;2;
8;2024;2024_S8;BRAZZAVILLE;Ouenze;0;0;0;
9;2024;2024_S9;PLATEAUX;Abala-Allémbé;0;0;0;
9;2024;2024_S9;BRAZZAVILLE;Bacongo;0;0;0;
9;2024;2024_S9;POOL;Boko-Louingui-Loumo;0;0;0;
9;2024;2024_S9;PLATEAUX;Djambala-Lékana-Mbon;0;0;0;
9;2024;2024_S9;BRAZZAVILLE;Djiri;0;0;0;
9;2024;2024_S9;NIARI;Dolisie;0;0;0;
